Frequency (Hz)	Level (dB)
500000.000000	-72.564972
500488.281250	-78.452675
500976.562500	-71.532265
501464.843750	-69.884583
501953.125000	-73.256721
502441.406250	-75.225731
502929.687500	-72.815292
503417.968750	-71.122749
503906.250000	-70.371216
504394.531250	-74.504471
504882.812500	-72.228943
505371.093750	-73.074432
505859.375000	-73.401680
506347.656250	-72.139214
506835.937500	-72.233681
507324.218750	-71.321762
507812.500000	-72.648056
508300.781250	-70.024376
508789.062500	-74.050468
509277.343750	-76.616196
509765.625000	-72.007462
510253.906250	-72.099915
510742.187500	-74.402504
511230.468750	-75.413574
511718.750000	-72.178734
512207.031250	-77.436539
512695.312500	-71.413185
513183.593750	-72.420395
513671.875000	-73.958313
514160.156250	-75.330673
514648.437500	-72.449265
515136.718750	-71.065910
515625.000000	-73.164345
516113.281250	-75.889046
516601.562500	-72.896759
517089.843750	-72.862587
517578.125000	-72.623787
518066.406250	-73.051956
518554.687500	-72.781227
519042.968750	-73.251694
519531.250000	-73.962357
520019.531250	-69.856049
520507.812500	-73.228836
520996.093750	-72.207115
521484.375000	-71.212997
521972.656250	-76.538071
522460.937500	-74.666801
522949.218750	-70.949501
523437.500000	-72.777954
523925.781250	-82.357880
524414.062500	-72.210609
524902.343750	-71.444893
525390.625000	-73.432602
525878.906250	-71.155251
526367.187500	-70.583061
526855.468750	-72.088043
527343.750000	-74.220970
527832.031250	-70.277100
528320.312500	-75.292137
528808.593750	-80.497276
529296.875000	-73.847305
529785.156250	-74.031441
530273.437500	-73.446335
530761.718750	-77.717934
531250.000000	-73.277115
531738.281250	-73.392136
532226.562500	-72.622383
532714.843750	-74.591423
533203.125000	-71.854668
533691.406250	-75.435555
534179.687500	-71.750473
534667.968750	-72.067139
535156.250000	-75.880043
535644.531250	-72.358383
536132.812500	-71.685623
536621.093750	-73.677200
537109.375000	-76.375473
537597.656250	-72.281883
538085.937500	-76.391090
538574.218750	-77.853317
539062.500000	-72.928467
539550.781250	-74.633980
540039.062500	-71.822914
540527.343750	-71.238625
541015.625000	-70.421272
541503.906250	-72.445099
541992.187500	-73.865067
542480.468750	-73.058350
542968.750000	-73.803276
543457.031250	-74.608734
543945.312500	-74.802444
544433.593750	-71.456375
544921.875000	-71.143997
545410.156250	-71.359886
545898.437500	-74.036217
546386.718750	-77.832550
546875.000000	-76.482315
547363.281250	-71.975006
547851.562500	-72.724190
548339.843750	-77.357689
548828.125000	-72.282547
549316.406250	-70.918755
549804.687500	-76.289871
550292.968750	-74.833473
550781.250000	-77.706032
551269.531250	-74.008148
551757.812500	-72.987122
552246.093750	-79.388855
552734.375000	-70.433296
553222.656250	-77.196564
553710.937500	-71.125687
554199.218750	-73.555656
554687.500000	-76.674706
555175.781250	-75.895782
555664.062500	-72.959846
556152.343750	-70.575645
556640.625000	-73.588173
557128.906250	-77.850967
557617.187500	-73.165092
558105.468750	-72.173798
558593.750000	-71.674667
559082.031250	-74.244621
559570.312500	-72.410103
560058.593750	-71.473404
560546.875000	-71.464615
561035.156250	-73.528030
561523.437500	-70.755043
562011.718750	-75.523819
562500.000000	-74.060951
562988.281250	-75.843979
563476.562500	-74.869118
563964.843750	-73.269447
564453.125000	-71.940407
564941.406250	-76.298187
565429.687500	-74.527390
565917.968750	-71.371857
566406.250000	-73.800621
566894.531250	-75.857025
